Symbol,Series,Name,Band,Remarks
SWARAJ,ST,Swaraj Suiting Limited,2,"-"
TAC,ST,TAC Infosec Limited,2,"-"
TBI,ST,TBI Corn Limited,2,"-"
TECHERA,ST,TechEra Engineering (India) Limited,2,"-"
TGL,ST,Teerth Gopicon Limited,2,"-"
URBAN,ST,Urban Enviro Waste Management Limited,2,"-"
UTSSAV,ST,Utssav CZ Gold Jewels Limited,2,"-"
VILAS,ST,Vilas Transcore Limited,2,"-"
VIVIANA,ST,Viviana Power Tech Limited,2,"-"
VLINFRA,ST,V.L.Infraprojects Limited,2,"-"
VMARCIND,ST,V Marc India Limited,2,"-"
ZTECH,ST,Z-Tech (India) Limited,2,"-"
3RDROCK,IT,3rd Rock Multimedia Limited,5,"-"
ABCOTS,ST,A B Cotspin India Limited,5,"-"
ABHAPOWER,ST,Abha Power and Steel Limited,5,"-"
ACCORD,SM,Accord Synergy Limited,5,"-"
AGARWALFT,SM,Agarwal Float Glass India Limited,5,"-"
AGARWALTUF,ST,AGARWAL TOUGHENED GLASS INDIA LIMITED,5,"-"
AGUL,SM,A G Universal Limited,5,"-"
AKANKSHA,ST,Akanksha Power and Infrastructure Limited,5,"-"
ALLETEC,ST,All E Technologies Limited,5,"-"
ALUWIND,ST,Aluwind Architectural Limited,5,"-"
AMBANIORGO,SM,AMBANI ORGOCHEM LIMITED,5,"-"
AMJUMBO,ST,A and M Jumbo Bags Limited,5,"-"
ANLON,SM,Anlon Technology Solutions Limited,5,"-"
APEXECO,ST,Apex Ecotech Limited,5,"-"
APS,ST,Australian Premium Solar (India) Limited,5,"-"
ARIHANTACA,ST,Arihant Academy Limited,5,"-"
ARISTO,ST,Aristo Bio-Tech And Lifescience Limited,5,"-"
ASCOM,ST,Ascom Leasing & Investments Limited,5,"-"
ASHALOG,ST,Ashapura Logistics Limited,5,"-"
ASLIND,SM,ASL Industries Limited,5,"-"
ASPIRE,ST,Aspire & Innovative Advertising Limited,5,"-"
AVSL,ST,AVSL Industries Limited,5,"-"
BAHETI,ST,Baheti Recycling Industries Limited,5,"-"
BALCO,ST,Solve Plastic Products Limited,5,"-"
BDR,IT,BDR Buildcon Limited,5,"-"
BEWLTD,ST,BEW ENGINEERING LIMITED,5,"-"
BIRDYS,SM,Grill Splendour Services Limited,5,"-"
BOSS,ST,Boss Packaging Solutions Limited,5,"-"
BRACEPORT,ST,Brace Port Logistics Limited,5,"-"
C2C,ST,C2C Advanced Systems Limited,5,"-"
CADSYS,ST,Cadsys (India) Limited,5,"-"
CANARYS,SM,Canarys Automations Limited,5,"-"
CELLECOR,ST,Cellecor Gadgets Limited,5,"-"
CMMIPL,SZ,CMM Infraprojects Limited,5,"-"
CMNL,ST,Chaman Metallics Limited,5,"-"
CMRSL,SM,Cyber Media Research & Services Limited,5,"-"
CONTI,ST,Continental Seeds and Chemicals Limited,5,"-"
COOLCAPS,ST,Cool Caps Industries Limited,5,"-"
DCG,SM,DCG Cables & Wires Limited,5,"-"
DECCANTRAN,ST,Deccan Transcon Leasing Limited,5,"-"
DENEERS,ST,De Neers Tools Limited,5,"-"
DPEL,ST,Divine Power Energy Limited,5,"-"
DRL,SM,Dhanuka Realty Limited,5,"-"
DRONE,ST,Drone Destination Limited,5,"-"
DRSCARGO,ST,DRS Cargo Movers Limited,5,"-"
DUCOL,SM,Ducol Organics And Colours Limited,5,"-"
EFACTOR,ST,E Factor Experiences Limited,5,"-"
EFFWA,ST,Effwa Infra & Research Limited,5,"-"
EMKAYTOOLS,ST,Emkay Taps and Cutting Tools Limited,5,"-"
EMMIL,ST,Energy Mission Machineries (India) Limited,5,"-"
ENFUSE,ST,Enfuse Solutions Limited,5,"-"
ENSER,ST,Enser Communications Limited,5,"-"
ESFL,ST,Essen Speciality Films Limited,5,"-"
FOCE,ST,Foce India Limited,5,"-"
FORCAS,ST,Forcas Studio Limited,5,"-"
GANESHIN,ST,GANESH INFRAWORLD LIMITED,5,"-"
GIRRESORTS,IT,GIR Natureview Resorts Limited,5,"-"
GOLDKART,ST,Goldkart Jewels Limited,5,"-"
GPECO,ST,GP ECO SOLUTIONS INDIA LIMITED,5,"-"
GRAPHISAD,ST,Graphisads Limited,5,"-"
GSTL,SM,Globesecure Technologies Limited,5,"-"
HIGREEN,ST,Hi-Green Carbon Limited,5,"-"
HOLMARC,ST,Holmarc Opto-Mechatronics Limited,5,"-"
HOMESFY,SM,Homesfy Realty Limited,5,"-"
HRHNEXT,ST,HRH Next Services Limited,5,"-"
IBLFL,ST,IBL Finance Limited,5,"-"
INFINIUM,ST,Infinium Pharmachem Limited,5,"-"
INFOLLION,ST,INFOLLION RESEARCH SERVICES LIMITED,5,"-"
IPHL,ST,Indian Phosphate Limited,5,"-"
IPSL,ST,Integrated Personnel Services Limited,5,"-"
ITALIANE,ST,Italian Edibles Limited,5,"-"
ITTL,ST,INNOVATIVE TYRES & TUBES LIMITED,5,"-"
JAKHARIA,ST,JAKHARIA FABRIC LIMITED,5,"-"
JALAN,ST,Jalan Transolutions (India) Limited,5,"-"
JAYBEE,ST,Jay Bee Laminations Limited,5,"-"
JETKNIT,ST,Jet Knitwears Limited,5,"-"
K2INFRA,SM,K2 Infragen Limited,5,"-"
KANDARP,ST,Kandarp Digi Smart Bpo Limited,5,"-"
KARNIKA,ST,Karnika Industries Limited,5,"-"
KCK,ST,Kck Industries Limited,5,"-"
KEL,ST,Kundan Edifice Limited,5,"-"
KKVAPOW,ST,KKV Agro Powers Limited,5,"-"
KNAGRI,ST,Kn Agri Resources Limited,5,"-"
KONSTELEC,ST,Konstelec Engineers Limited,5,"-"
KORE,ST,Jay Jalaram Technologies Limited,5,"-"
KRISHIVAL,SM,Krishival Foods Limited,5,"-"
KTL,ST,Kalahridhaan Trendz Limited,5,"-"
LAMOSAIC,ST,Lamosaic India Limited,5,"-"
LEMERITE,ST,Le Merite Exports Limited,5,"-"
LRRPL,ST,Lead Reclaim And Rubber Products Limited,5,"-"
MAITREYA,ST,Maitreya Medicare Limited,5,"-"
MAKS,SM,Maks Energy Solutions India Limited,5,"-"
MANAV,SM,Manav Infra Projects Limited,5,"-"
MANDEEP,SM,Mandeep Auto Industries Limited,5,"-"
MASON,ST,Mason Infratech Limited,5,"-"
MCON,SM,Mcon Rasayan India Limited,5,"-"
MEGAFLEX,ST,Mega Flex Plastics Limited,5,"-"
MEGATHERM,SM,Megatherm Induction Limited,5,"-"
MIEL,ST,Manglam Infra & Engineering Limited,5,"-"
MILTON,SM,Milton Industries Limited,5,"-"
MINDPOOL,ST,Mindpool Technologies Limited,5,"-"
MONOPHARMA,SM,Mono Pharmacare Limited,5,"-"
MOS,ST,Mos Utility Limited,5,"-"
MOXSH,SM,Moxsh Overseas Educon Limited,5,"-"
MPTODAY,SM,Madhya Pradesh Today Media Limited,5,"-"
NAMAN,ST,Naman In-Store (India) Limited,5,"-"
NAMOEWASTE,ST,Namo eWaste Management Limited,5,"-"
NEELAM,ST,NEELAM LINENS AND GARMENTS (INDIA) LIMITED,5,"-"
OBSCP,ST,OBSC Perfection Limited,5,"-"
OMFURN,SM,Omfurn India Limited,5,"-"
PARIN,ST,Parin Enterprises Limited,5,"-"
PASHUPATI,ST,Pashupati Cotspin Limited,5,"-"
PATTECH,ST,Pattech Fitwell Tube Components Limited,5,"-"
PERFECT,ST,Perfect Infraengineers Limited,5,"-"
PHANTOMFX,ST,Phantom Digital Effects Limited,5,"-"
PHOGLOBAL,ST,Phoenix Overseas Limited,5,"-"
PRAMARA,SM,PRAMARA PROMOTIONS LIMITED,5,"-"
PRATHAM,ST,Pratham EPC Projects Limited,5,"-"
PRESSTONIC,ST,Presstonic Engineering Limited,5,"-"
PRIZOR,ST,Prizor Viztech Limited,5,"-"
PULZ,ST,Pulz Electronics Limited,5,"-"
QFIL,SM,Quality Foils (India) Limited,5,"-"
QUADPRO,SM,Quadpro Ites Limited,5,"-"
QVCEL,ST,QVC Exports Limited,5,"-"
RAJPUTANA,ST,Rajputana Biodiesel Limited,5,"-"
RBMINFRA,ST,Rbm Infracon Limited,5,"-"
REXPIPES,SM,Rex Pipes And Cables Industries Limited,5,"-"
RICHA,SM,Richa Info Systems Limited,5,"-"
RULKA,SM,Rulka Electricals Limited,5,"-"
SAHAJSOLAR,ST,Sahaj Solar Limited,5,"-"
SECL,ST,Salasar Exteriors And Contour Limited,5,"-"
SEL,ST,Sungarner Energies Limited,5,"-"
SHAIVAL,ST,Shaival Reality Limited,5,"-"
SHIVAUM,ST,Shiv Aum Steels Limited,5,"-"
SHREEKARNI,SM,Shree Karni Fabcom Limited,5,"-"
SHUBHLAXMI,ST,Shubhlaxmi Jewel Art Limited,5,"-"
SHUBHSHREE,ST,Shubhshree Biofuels Energy Limited,5,"-"
SIDDHIKA,SM,Siddhika Coatings Limited,5,"-"
SIGNORIA,ST,Signoria Creation Limited,5,"-"
SILKFLEX,ST,Silkflex Polymers (India) Limited,5,"-"
SMVD,SM,SMVD Poly Pack Limited,5,"-"
SONAMAC,ST,Sona Machinery Limited,5,"-"
SONUINFRA,SM,Sonu Infratech Limited,5,"-"
SOTAC,SM,Sotac Pharmaceuticals Limited,5,"-"
SPRL,ST,Sp Refractories Limited,5,"-"
SUPREMEPWR,ST,Supreme Power Equipment Limited,5,"-"
TAPIFRUIT,SM,Tapi Fruit Processing Limited,5,"-"
TECHLABS,SM,Trident Techlabs Limited,5,"-"
THESL,ST,THINKING HATS ENTERTAINMENT SOLUTIONS LIMITED,5,"-"
TIMESCAN,SM,Timescan Logistics (India) Limited,5,"-"
TIRUPATI,SM,SHREE TIRUPATI BALAJEE FIBC LIMITED,5,"-"
TRANSTEEL,ST,TRANSTEEL SEATING TECHNOLOGIES LIMITED,5,"-"
TRANSWIND,ST,Transwind Infrastructures Limited,5,"-"
UHTL,ST,United Heat Transfer Limited,5,"-"
UWCSL,SM,Ultra Wiring Connectivity System Limited,5,"-"
VASA,SM,Vasa Retail and Overseas Ltd,5,"-"
VEEKAYEM,ST,Veekayem Fashion And Apparels Limited,5,"-"
VELS,SM,Vels Film International Limited,5,"-"
VERA,ST,Vera Synthetic Limited,5,"-"
VERITAAS,SM,VERITAAS ADVERTISING LIMITED,5,"-"
VERTEXPLUS,SM,Vertexplus Technologies Limited,5,"-"
VINYAS,ST,Vinyas Innovative Technologies Limited,5,"-"
VISHNUINFR,ST,Vishnusurya Projects and Infra Limited,5,"-"
VIVO,ST,Vivo Collaboration Solutions Limited,5,"-"
VR,ST,V R Infraspace Limited,5,"-"
VSCL,SM,Vadivarhe Speciality Chemicals Limited,5,"-"
WALPAR,SM,WALPAR NUTRITIONS LIMITED,5,"-"
WOMANCART,ST,Womancart Limited,5,"-"
WTICAB,ST,Wise Travel India Limited,5,"-"
YUDIZ,ST,Yudiz Solutions Limited,5,"-"
ZENITHDRUG,ST,Zenith Drugs Limited,5,"-"
ALPEXSOLAR,SM,ALPEX SOLAR LIMITED,10,"-"
DIGIKORE,SM,DIGIKORE STUDIOS LIMITED,10,"-"
KCEIL,SM,KAY CEE ENERGY & INFRA LIMITED,10,"-"
KRISHCA,SM,KRISHCA STRAPPING SOLUTIONS LIMITED,10,"-"
NPST,SM,NETWORK PEOPLE SERVICES TECHNOLOGIES LIMITED,10,"-"
OLIL,SM,ONECLICK LOGISTICS INDIA LIMITED,10,"-"
ORIANA,SM,ORIANA POWER LIMITED,10,"-"
PROLIFE,SM,PROLIFE INDUSTRIES LIMITED,10,"-"
SAAKSHI,SM,SAAKSHI MEDTECH AND PANELS LIMITED,10,"-"
SAHASRA,SM,Sahasra Electronic Solutions Limited,10,"-"
SOLEX,SM,SOLEX ENERGY LIMITED,10,"-"
TRUST,SM,TRUST FINTECH LIMITED,10,"-"
VIAZ,SM,VIAZ TYRES LIMITED,10,"-"
VITAL,SM,VITAL CHEMTECH LIMITED,10,"-"
AATMAJ,SM,Aatmaj Healthcare Limited,20,"-"
ABNINT,IT,A B N Intercorp Limited,20,"-"
ABSMARINE,SM,ABS Marine Services Limited,20,"-"
ACCENTMIC,SM,Accent Microcell Limited,20,"-"
AERON,SM,Aeron Composite Limited,20,"-"
AESTHETIK,SM,Aesthetik Engineers Limited,20,"-"
AGNI,SM,AGNI GREEN POWER LIMITED,20,"-"
AKIKO,SM,Akiko Global Services Limited,20,"-"
AMBEY,SM,Ambey Laboratories Limited,20,"-"
AMIABLE,SM,Amiable Logistics (India) Limited,20,"-"
ANNAPURNA,SM,Annapurna Swadisht Limited,20,"-"
APRAMEYA,SM,Aprameya Engineering Limited,20,"-"
ARABIAN,SM,Arabian Petroleum Limited,20,"-"
ARHAM,SM,Arham Technologies Limited,20,"-"
AURDIS,SM,Aurangabad Distillery Limited,20,"-"
AUROIMPEX,SM,Auro Impex & Chemicals Limited,20,"-"
AUSL,SM,Aditya Ultra Steel Limited,20,"-"
AVIANSH,SM,Avi Ansh Textile Limited,20,"-"
BABAFP,SM,Baba Food Processing (India) Limited,20,"-"
BAWEJA,SM,Baweja Studios Limited,20,"-"
BEACON,SM,Beacon Trusteeship Limited,20,"-"
BETA,SM,Beta Drugs Limited,20,"-"
BHALCHANDR,IT,Bhalchandram Clothing Limited,20,"-"
BIKEWO,SM,Bikewo Green Tech Limited,20,"-"
BLUEPEBBLE,SM,BLUE PEBBLE LIMITED,20,"-"
BMETRICS,SM,BOMBAY METRICS SUPPLY CHAIN LIMITED,20,"-"
BULKCORP,SM,Bulkcorp International Limited,20,"-"
CBAZAAR,SM,Net Avenue Technologies Limited,20,"-"
CELLPOINT,SM,Cell Point (India) Limited,20,"-"
CGRAPHICS,SM,CREATIVE GRAPHICS SOLUTIONS INDIA LIMITED,20,"-"
CHAVDA,SM,Chavda Infra Limited,20,"-"
CHETANA,SM,Chetana Education Limited,20,"-"
CLSL,SM,Crop Life Science Limited,20,"-"
COMMITTED,SM,Committed Cargo Care Limited,20,"-"
CRAYONS,SM,Crayons Advertising Limited,20,"-"
DANISH,SM,Danish Power Limited,20,"-"
DEEM,SM,Deem Roll Tech Limited,20,"-"
DELAPLEX,SM,Delaplex Limited,20,"-"
DENTALKART,SM,Vasa Denticity Limited,20,"-"
DHARIWAL,SM,Dhariwalcorp Limited,20,"-"
DIVYADHAN,SM,Divyadhan Recycling Industries Limited,20,"-"
DKEGL,SM,D.K. ENTERPRISES GLOBAL LIMITED,20,"-"
DOLLEX,SM,Dollex Agrotech Limited,20,"-"
DTL,SM,Diensten Tech Limited,20,"-"
DUGLOBAL,SM,DUDIGITAL GLOBAL LIMITED,20,"-"
DURLAX,SM,Durlax Top Surface Limited,20,"-"
EFORCE,SM,Electro Force (India) Limited,20,"-"
ENVIRO,SM,Envirotech Systems Limited,20,"-"
ESPRIT,SM,Esprit Stones Limited,20,"-"
EUROBOND,SM,Euro Panel Products Limited,20,"-"
EXCELLENT,SM,Excellent Wires and Packaging Limited,20,"-"
FALCONTECH,SM,Falcon Technoprojects India Limited,20,"-"
FIDEL,SM,Fidel Softech Limited,20,"-"
FONEBOX,SM,Fonebox Retail Limited,20,"-"
FORGEAUTO,SM,Forge Auto International Limited,20,"-"
FRESHARA,SM,Freshara Agro Exports Limited,20,"-"
FROG,SM,Frog Cellsat Limited,20,"-"
GGBL,SM,Ganesh Green Bharat Limited,20,"-"
GICL,SM,GLOBE INTERNATIONAL CARRIERS LIMITED,20,"-"
GIRIRAJ,SM,Giriraj Civil Developers Limited,20,"-"
GLOBALPET,SM,Global Pet Industries Limited,20,"-"
GOLDSTAR,SM,Goldstar Power Limited,20,"-"
GOYALSALT,SM,Goyal Salt Limited,20,"-"
GREENCHEF,SM,Greenchef Appliances Limited,20,"-"
HOACFOODS,SM,Hoac Foods India Limited,20,"-"
HVAX,SM,HVAX Technologies Limited,20,"-"
IDEALTECHO,SM,Ideal Technoplast Industries Limited,20,"-"
IEML,SM,Indian Emulsifiers Limited,20,"-"
INDIFRA,SM,Indifra Limited,20,"-"
INM,SM,Interiors & More Limited,20,"-"
INNOMET,SM,Innomet Advanced Materials Limited,20,"-"
INNOVANA,SM,Innovana Thinklabs Limited,20,"-"
INSPIRE,SM,Inspire Films Limited,20,"-"
JAINAM,SM,Jainam Ferro Alloys (I) Limited,20,"-"
JEYYAM,SM,Jeyyam Global Foods Limited,20,"-"
JIWANRAM,SM,Jiwanram Sheoduttrai Industries Limited,20,"-"
JSLL,SM,JEENA SIKHO LIFECARE LIMITED,20,"-"
KALANA,SM,Kalana Ispat Limited,20,"-"
KATARIA,SM,Kataria Industries Limited,20,"-"
KHFM,SM,Khfm Hospitality And Facility Management Services Limited,20,"-"
KLL,SM,Kaushalya Logistics Limited,20,"-"
KODYTECH,SM,KODY TECHNOLAB LIMITED,20,"-"
KOTYARK,SM,Kotyark Industries Limited,20,"-"
LAKSHYA,SM,Lakshya Powertech Limited,20,"-"
LAWSIKHO,SM,Addictive Learning Technology Limited,20,"-"
LLOYDS,SM,Lloyds Luxuries Limited,20,"-"
MACOBSTECH,SM,Macobs Technologies Limited,20,"-"
MADHAVBAUG,SM,Vaidya Sane Ayurved Laboratories Limited,20,"-"
MADHUSUDAN,SM,Madhusudan Masala Limited,20,"-"
MAGSON,SM,Magson Retail And Distribution Limited,20,"-"
MAHICKRA,SM,Mahickra Chemicals Limited,20,"-"
MAL,SM,Mangalam Alloys Limited,20,"-"
MARCO,SM,Marco Cables & Conductors Limited,20,"-"
MARINETRAN,SM,Marinetrans India Limited,20,"-"
MAXPOSURE,SM,Maxposure Limited,20,"-"
MDL,SM,Marvel Decor Limited,20,"-"
MHHL,SM,Mohini Health & Hygiene Limited,20,"-"
MICROPRO,SM,Micropro Software Solutions Limited,20,"-"
MVKAGRO,SM,M.V.K. Agro Food Product Limited,20,"-"
MWL,SM,Mangalam Worldwide Limited,20,"-"
MYMUDRA,SM,My Mudra Fincorp Limited,20,"-"
NEWJAISA,SM,Newjaisa Technologies Limited,20,"-"
NIDAN,SM,Nidan Laboratories And Healthcare Limited,20,"-"
ONDOOR,SM,On Door Concepts Limited,20,"-"
ONYX,SM,ONYX BIOTEC LIMITED,20,"-"
OSELDEVICE,SM,Osel Devices Limited,20,"-"
OWAIS,SM,OWAIS METAL AND MINERAL PROCESSING LIMITED,20,"-"
PARAGON,SM,Paragon Fine and Speciality Chemical Limited,20,"-"
PARAMATRIX,SM,Paramatrix Technologies Limited,20,"-"
PARAMOUNT,SM,Paramount Dye Tec Limited,20,"-"
PARTYCRUS,SM,Party Cruisers Limited,20,"-"
PCCL,SM,Petro Carbon and Chemicals Limited,20,"-"
PELATRO,SM,PELATRO LIMITED,20,"-"
PENTAGON,SM,Pentagon Rubber Limited,20,"-"
PLADAINFO,SM,Plada Infotech Services Limited,20,"-"
POLYSIL,SM,Polysil Irrigation Systems Limited,20,"-"
PPSL,SM,Picturepost Studios Limited,20,"-"
PRANIK,SM,Pranik Logistics Limited,20,"-"
PRECISION,SM,Precision Metaliks Limited,20,"-"
PREMIUM,SM,Premium Plast Limited,20,"-"
PRLIND,SM,Premier Roadlines Limited,20,"-"
PROPEQUITY,SM,P. E. Analytics Limited,20,"-"
PROV,SM,Proventus Agrocom Limited,20,"-"
PSFL,SM,Paramount Speciality Forgings Limited,20,"-"
PURVFLEXI,SM,Purv Flexipack Limited,20,"-"
QMSMEDI,SM,Qms Medical Allied Services Limited,20,"-"
QUESTLAB,SM,Quest Laboratories Limited,20,"-"
QUICKTOUCH,SM,Quicktouch Technologies Limited,20,"-"
RADIOWALLA,SM,Radiowalla Network Limited,20,"-"
RAJINDLTD,SM,Rajputana Industries Limited,20,"-"
RAPPID,SM,Rappid Valves (India) Limited,20,"-"
RBS,SM,Ramdevbaba Solvent Limited,20,"-"
RCDL,SM,Rajgor Castor Derivatives Limited,20,"-"
REMUS,SM,Remus Pharmaceuticals Limited,20,"-"
RITEZONE,SM,Rite Zone Chemcon India Limited,20,"-"
RNFI,SM,RNFI Services Limited,20,"-"
ROCKINGDCE,SM,Rockingdeals Circular Economy Limited,20,"-"
ROXHITECH,SM,Rox Hi Tech Limited,20,"-"
SADHAV,SM,Sadhav Shipping Limited,20,"-"
SAHAJ,SM,Sahaj Fashions Limited,20,"-"
SAHANA,SM,Sahana System Limited,20,"-"
SAIFL,SM,SAMEERA AGRO AND INFRA LIMITED,20,"-"
SAJHOTELS,SM,Saj Hotels Limited,20,"-"
SAROJA,SM,Saroja Pharma Industries India Limited,20,"-"
SARTELE,SM,SAR TELEVENTURE LIMITED,20,"-"
SATIPOLY,SM,Sati Poly Plast Limited,20,"-"
SCML,SM,Sharp Chucks and Machines Limited,20,"-"
SDREAMS,SM,S D Retail Limited,20,"-"
SERVICE,SM,Service Care Limited,20,"-"
SHANTHALA,SM,Shanthala FMCG Products Limited,20,"-"
SHEETAL,SM,SHEETAL UNIVERSAL LIMITED,20,"-"
SHERA,SM,Shera Energy Limited,20,"-"
SHIGAN,SM,SHIGAN QUANTUM TECHNOLOGIES LIMITED,20,"-"
SHREEOSFM,SM,Shree OSFM E-Mobility Limited,20,"-"
SHRITECH,SM,Shri Techtex Limited,20,"-"
SKP,SM,Skp Bearing Industries Limited,20,"-"
SPCL,SM,Shivalic Power Control Limited,20,"-"
SPECTRUM,SM,SPECTRUM ELECTRICAL INDUSTRIES LIMITED,20,"-"
SPPPOLY,SM,SPP Polymer Limited,20,"-"
SRIVASAVI,SM,Srivasavi Adhesive Tapes Limited,20,"-"
SUNLITE,SM,Sunlite Recycling Industries Limited,20,"-"
SUNREST,SM,Sunrest Lifescience Limited,20,"-"
SWASTIK,SM,Swastik Pipe Limited,20,"-"
SYLVANPLY,SM,Sylvan Plyboard (India) Limited,20,"-"
SYNOPTICS,SM,Synoptics Technologies Limited,20,"-"
SYSTANGO,SM,Systango Technologies Limited,20,"-"
TCL,SM,Thaai Casting Limited,20,"-"
TRIDHYA,SM,Tridhya Tech Limited,20,"-"
TROM,SM,Trom Industries Limited,20,"-"
TUNWAL,SM,Tunwal E-Motors Limited,20,"-"
UCL,SM,Ushanti Colour Chem Limited,20,"-"
UMA,SM,Uma Converter Limited,20,"-"
UNIHEALTH,SM,Unihealth Hospitals Limited,20,"-"
UNILEX,SM,Unilex Colours and Chemicals Limited,20,"-"
USASEEDS,SM,Upsurge Seeds Of Agriculture Limited,20,"-"
USHAFIN,SM,Usha Financial Services Limited,20,"-"
VDEAL,SM,Vdeal System Limited,20,"-"
VIESL,SM,Vision Infra Equipment Solutions Limited,20,"-"
VILINBIO,SM,Vilin Bio Med Limited,20,"-"
VINSYS,SM,Vinsys It Services India Limited,20,"-"
VISAMAN,SM,Visaman Global Sales Limited,20,"-"
VISHWAS,SM,Vishwas Agri Seeds Limited,20,"-"
WINNY,SM,Winny Immigration & Education Services Limited,20,"-"
WINSOL,SM,Winsol Engineers Limited,20,"-"
WOL3D,SM,Wol 3D India Limited,20,"-"
YASHOPTICS,SM,Yash Optics & Lens Limited,20,"-"
YCCL,SM,Yasons Chemex Care Limited,20,"-"
ZEAL,SM,Zeal Global Services Limited,20,"-"
